Dataset,Algo,Sparsity,TopN,Precision,Recall,F1
custom,SVD,0.75,40,0.151,1.0,0.262380538662033
custom,SVD,0.75,45,0.13422222222222221,1.0,0.2366771159874608
custom,SVD,0.75,50,0.1208,1.0,0.21556031406138473
custom,SVD,0.75,55,0.1098181818181818,1.0,0.19790301441677585
custom,SVD,0.75,60,0.10066666666666667,1.0,0.18291944276196248
custom,SVD,0.75,65,0.09292307692307693,1.0,0.17004504504504506
custom,SVD,0.75,70,0.08628571428571429,1.0,0.15886375591793792
custom,SVD,0.75,75,0.08053333333333333,1.0,0.14906219151036526
custom,SVD,0.75,80,0.0755,1.0,0.14039981403998142
custom,SVD,0.75,85,0.07105882352941176,1.0,0.13268892794376097
custom,SVD,0.75,90,0.06711111111111111,1.0,0.12578092461474386
custom,SVD,0.75,95,0.06357894736842105,1.0,0.11955661124307206
custom,SVD,0.75,100,0.0604,1.0,0.1139192757450019
